MODELO,MARCA,TIPOCOMPRA,ANIOS,KILOMETRAJE,CIUDAD,TIPOPRECIO,PRECIO
Chevrolet,Spark GT,GOLD,2020,6000,Quito,Negociable,12900
Fiat,Fiorino Fire,GOLD,2008,375000,Quito,Negociable,6900
Hyundai,Sonata Hybrid,GOLD,2015,80000,Quito,Negociable,15900
Chevrolet,Sail,GOLD,2013,150579,Quito,Fijo,10900
Chevrolet,Trailblazer,GOLD,2003,133000,Quito,Negociable,8900
Chevrolet,Spark,GOLD,2015,13000,Quito,Negociable,8200
Nissan,Pathfinder,GOLD,2002,182000,Quito,Negociable,10900
Chevrolet,D-MAX TD 2.5 CS 4X2 TM DIESEL,GOLD,2015,62000,Quito,Negociable,19900
Mitsubishi,Montero 5P,GOLD,2002,297000,Quito,Negociable,10900
Volkswagen,Amarok,GOLD,2019,1800,Quito,Negociable,38900
Toyota,Highlander,GOLD,2009,120000,Quito,Negociable,17900
Volkswagen,Polo Classic,GOLD,2005,153000,Quito,Negociable,7900
Volkswagen,Tiguan,GOLD,2011,120540,Quito,Fijo,20900
Datsun,1000,GOLD,1969,1111111,Cuenca,Negociable,8800
Great Wall,Voleex C30,GOLD,2019,40741,Quito,Fijo,12900
Honda,Odissey,GOLD,2003,202808,Quito,Fijo,18900
Toyota,RAV 4,GOLD,2002,244000,Cuenca,Negociable,10800
Renault,Sandero Dynamic,GOLD,2012,130000,Quito,Negociable,9400
Hyundai,Ioniq Hybrid,GOLD,2017,83000,Quito,Negociable,16900
Mazda,B2200 CS,GOLD,2002,220000,Pelileo,Negociable,10490
Ford,Fusion,GOLD,2011,121187,Quito,Negociable,13500
Chevrolet,Aveo Emotion GLS,GOLD,2011,112000,Quito,Negociable,9400
Mitsubishi,Lancer,GOLD,2003,234045,Quito,Fijo,8900
Honda,Pilot,GOLD,2013,89259,Quito,Negociable,34900
BMW,X5 xDrive35i,GOLD,2015,100000,Quito,Negociable,78900
Ford,F150 DC 4X2,GOLD,2011,217000,Quito,Negociable,19800
Mazda,CX-9,GOLD,2008,147000,Quito,Negociable,21900
Chevrolet,Sail,GOLD,2018,44556,Quito,Negociable,15500
Great Wall,M4,STANDAR,2017,43600,Otros,Fijo,14639
Toyota,Land Cruiser GX,STANDAR,2006,216400,Quito,Fijo,18900
Suzuki,Grand Vitara SZ 2.4,STANDAR,2019,26143,Quito,Fijo,21539
Mazda,BT-50 CD 4x2,GOLD,2015,58793,Ambato,Fijo,18990
Nissan,Sentra,GOLD,2006,194718,Quito,Fijo,6900
Chevrolet,Spark GT,GOLD,2017,63969,Quito,Fijo,11900
Toyota,Highlander Hibrido,GOLD,2010,107708,Quito,Fijo,21900
Chevrolet,Spark GT,GOLD,2018,30500,Cuenca,Negociable,11400
Kia,Picanto,GOLD,2019,56000,Loja,Negociable,12300
Citroen,Berlingo,GOLD,2012,40304,Quito,Negociable,10990
Toyota,Fortuner 2.7,GOLD,2010,202000,Quito,Negociable,21900
Citroen,C3 SHINE,GOLD,2018,70000,Quito,Negociable,17900
Kia,Cerato,GOLD,2015,78600,Quito,Fijo,14200
Toyota,New Fortuner,GOLD,2019,39000,Quito,Negociable,44900
BMW,X1,GOLD,2018,11000,Quito,Negociable,48000
Hyundai,Getz,GOLD,2009,135000,Loja,Negociable,10300
Nissan,X-Trail,STANDAR,2009,109000,Quito,Negociable,13100
Jeep,Grand Cherokee Limited,GOLD,2012,36602,Quito,Negociable,40000
Nissan,Versa,GOLD,2015,63000,Quito,Negociable,12800
Great Wall,Haval H2,GOLD,2016,50780,Quito,Fijo,16990
Great Wall,Haval M4,GOLD,2019,11187,Quito,Fijo,14490
Great Wall,Wingle 4x4 Diesel CD Pick Up,GOLD,2019,2277,Quito,Fijo,22990
Nissan,Versa,GOLD,2014,80000,Quito,Negociable,12800
Mercedes Benz,E400,STANDAR,2016,25367,Quito,Negociable,84900
Chevrolet,Spark GT,GOLD,2015,100000,Quito,Negociable,10800
Mitsubishi,Montero Sport,GOLD,1999,179000,Guayaquil,Negociable,9700
Ford,Ecosport,TOP,2008,129600,Quito,Negociable,12500
Hyundai,i40,GOLD,2014,49000,Quito,Negociable,18600
Ford,Festiva,GOLD,1996,83200,Quito,Negociable,6600
Chevrolet,N300,GOLD,2015,104000,Quito,Negociable,9900
Volkswagen,New Beetle,GOLD,2015,60000,Quito,Negociable,21900
Nissan,X-Trail,GOLD,2016,91000,Quito,Negociable,23600
Nissan,X Trail Sense,GOLD,2016,91000,Quito,Negociable,23600
Volkswagen,Beetle,GOLD,2015,60000,Quito,Negociable,21900
Volkswagen,Passat,GOLD,1999,119000,Quito,Negociable,8400
Renault,Duster 1.6,GOLD,2019,12000,Quito,Negociable,17900
Lexus,RX 450 Hibrido,GOLD,2010,82000,Quito,Negociable,27500
Hyundai,Ioniq Hybrid,GOLD,2018,30000,Quito,Negociable,18900
Volkswagen,Polo,GOLD,2001,163000,Quito,Negociable,6300
Hyundai,Accent New,GOLD,2019,30000,Quito,Negociable,17900
Hyundai,Accent,GOLD,2019,30000,Quito,Negociable,17900
Chevrolet,Aveo Emotion GLS,STANDAR,2014,118740,Santo Domingo,Fijo,12200
Kia,Sportage Active,STANDAR,2015,170000,Quito,Fijo,16900
Mazda,BT-50 CD 4x4,STANDAR,2015,90000,Quito,Negociable,23500
Chevrolet,Vitara 3P,STANDAR,2012,118000,Quito,Negociable,11900
Renault,Logan Dynamique,GOLD,2014,142000,Quito,Negociable,9900
Volkswagen,Polo,GOLD,2018,24372,Ambato,Fijo,16690
Toyota,Yaris,GOLD,2019,14848,Ambato,Fijo,17990
Hyundai,i10,GOLD,2015,64914,Ambato,Fijo,9890
Toyota,Yaris Nitro,GOLD,2006,167408,Cuenca,Negociable,10800
Volkswagen,Polo,GOLD,2018,40718,Ambato,Fijo,14690
Toyota,Land Cruiser,STANDAR,1997,342000,Quito,Negociable,12900
Toyota,Fortuner 2.7,STANDAR,2014,132637,Ibarra,Negociable,29500
Suzuki,Grand Vitara SZ,STANDAR,2015,123201,Quito,Fijo,16500
Toyota,Yaris,STANDAR,2019,28894,Quito,Fijo,18739
Nissan,Versa,STANDAR,2013,12701,Quito,Fijo,14900
Nissan,NP300,STANDAR,2015,110001,Quito,Fijo,17939
Nissan,Xtrail Xtreme,GOLD,2012,159802,Ambato,Fijo,15690
Hyundai,Ioniq Hybrid,GOLD,2017,104975,Ambato,Fijo,16600
Toyota,New Hilux SR,GOLD,2017,71197,Ambato,Fijo,34990
Chevrolet,Spark GT,STANDAR,2018,34000,Quito,Fijo,10800
Chevrolet,D-MAX CRDI AC 3.0 CD 4X4 TM DIESEL,GOLD,2019,23922,Ambato,Fijo,36990
Skoda,Octavia Diesel,GOLD,2008,168000,Quito,Negociable,11800
Chevrolet,Grand Vitara SZ Next,GOLD,2016,62000,Quito,Negociable,17800
Nissan,Kicks,GOLD,2018,52000,Quito,Negociable,19800
Daihatsu,Terios,GOLD,2009,175000,Quito,Negociable,11800
